method,silhouette,calinski_harabasz,davies_bouldin,adjusted_rand_index,normalized_mutual_info,purity,n_clusters
VAE_basic+K-Means,0.12190640717744827,341.4272635788734,1.9285036751617426,0.1774422741926327,0.1767582582659623,0.4843124165554072,
VAE_basic+Agglomerative,0.05604762211441994,240.01027808657946,2.4752899155130335,0.12485624345428303,0.13455189982258817,0.44225634178905204,
VAE_multimodal+K-Means,0.14290709793567657,619.9979286773029,1.4376538296466521,0.05901179131748088,0.0742603758996966,0.3144192256341789,
VAE_multimodal+Agglomerative,0.561642587184906,582.694979172184,1.1554842464752169,2.9425795724009755e-05,0.003598474985215049,0.20627503337783712,
VAE_multimodal+DBSCAN,0.31534120440483093,10.044692249305324,0.9345914197090904,-1.3491540260649513e-05,0.0018574821915755904,0.2034082668600435,2.0
PCA_baseline+K-Means,0.11705949157476425,450.8028714640888,2.0516189842512023,0.13603774279314929,0.1633443233321518,0.4379172229639519,
PCA_baseline+Agglomerative,0.08958257734775543,374.93962483369984,2.199850090530407,0.13690275900226573,0.16436906448642188,0.44359145527369825,
Raw_audio+K-Means,0.11008916795253754,430.64212430346424,2.1054523439809345,0.13338277149582142,0.1642537198290256,0.4362483311081442,
Raw_audio+Agglomerative,0.08979200571775436,354.429845649754,2.3629409431367527,0.09955653281399189,0.13001781833274173,0.3998664886515354,
Raw_audio+DBSCAN,0.22732505202293396,7.981361560064486,1.0271261615470768,-2.1457428053963733e-05,0.002810373373190193,0.2117310443490701,2.0
Audio+Text_concat+K-Means,0.469760534682133,30.431733395730344,0.3430010221187646,-1.2235123906565376e-06,0.0033939897498825346,0.20160213618157544,
Audio+Text_concat+Agglomerative,-0.067317484752779,45.38767662537042,2.8421722195094943,0.04330965506906512,0.08389053273264047,0.3014018691588785,
