method,silhouette,calinski_harabasz,davies_bouldin,adjusted_rand_index,normalized_mutual_info,purity,n_clusters
VAE_basic+K-Means,0.12190640717744827,341.4272635788734,1.9285036751617426,0.1774422741926327,0.1767582582659623,0.4843124165554072,
VAE_basic+Agglomerative,0.05604762211441994,240.01027808657946,2.4752899155130335,0.12485624345428303,0.13455189982258817,0.44225634178905204,
VAE_multimodal+K-Means,0.14290709793567657,619.9979286773029,1.4376538296466521,0.05901179131748088,0.0742603758996966,0.3144192256341789,
VAE_multimodal+Agglomerative,0.561642587184906,582.694979172184,1.1554842464752169,2.9425795724009755e-05,0.003598474985215049,0.20627503337783712,
VAE_multimodal+DBSCAN,0.31534120440483093,10.044692249305324,0.9345914197090904,-1.3491540260649513e-05,0.0018574821915755904,0.2034082668600435,2.0
BetaVAE_beta_0.5+K-Means,0.07425450533628464,207.61794407561823,2.52465551845907,0.17996175584669308,0.1822699131180369,0.4886515353805073,
BetaVAE_beta_0.5+Agglomerative,0.008716225624084473,134.78543489249844,3.3146470506264847,0.10707458163693612,0.124692065749225,0.4188918558077437,
BetaVAE_beta_1.0+K-Means,0.1125451847910881,331.0443938575752,2.0518433094652497,0.15118072702102325,0.1735115489475426,0.45861148197596796,
BetaVAE_beta_1.0+Agglomerative,0.05578593909740448,245.991373988481,2.4308934526094665,0.0899108845071028,0.11433526071380129,0.407543391188251,
BetaVAE_beta_4.0+K-Means,0.2937045395374298,1293.4154373818358,1.0742865222884235,0.1370681896967885,0.158880548974434,0.44559412550066757,
BetaVAE_beta_4.0+Agglomerative,0.20821116864681244,1035.5592863024929,1.2808294657722779,0.12707598048421806,0.1423508845570566,0.43391188251001334,
BetaVAE_beta_4.0+DBSCAN,0.04740539938211441,8.2692201881839,0.8933572468612919,5.3582879106951185e-05,0.002298143316515609,0.21268257926612041,3.0
BetaVAE_beta_10.0+K-Means,0.35780516266822815,2369.4510142942713,0.8745711819964026,0.10967203668073466,0.15403281108485747,0.4192256341789052,
BetaVAE_beta_10.0+Agglomerative,0.3065086305141449,1970.2874583214245,0.9264315592098438,0.11830121822057184,0.1397085190451872,0.42222963951935916,
BetaVAE_beta_10.0+DBSCAN,0.23018337786197662,25.14732050770622,0.6527825140875299,0.00015844045653179846,0.008363056736080295,0.21576319543509273,5.0
PCA_baseline+K-Means,0.11705949157476425,450.8028714640888,2.0516189842512023,0.13603774279314929,0.1633443233321518,0.4379172229639519,
PCA_baseline+Agglomerative,0.08958257734775543,374.93962483369984,2.199850090530407,0.13690275900226573,0.16436906448642188,0.44359145527369825,
Raw_audio+K-Means,0.11008916795253754,430.64212430346424,2.1054523439809345,0.13338277149582142,0.1642537198290256,0.4362483311081442,
Raw_audio+Agglomerative,0.08979200571775436,354.429845649754,2.3629409431367527,0.09955653281399189,0.13001781833274173,0.3998664886515354,
Raw_audio+DBSCAN,0.22732505202293396,7.981361560064486,1.0271261615470768,-2.1457428053963733e-05,0.002810373373190193,0.2117310443490701,2.0
